topology,nodes,edges,k_avg,k_min,k_max,k_variance,d,d_norm,aspl,acc,assort,core_max,ktruss_max,peak_day,Y_peak_day,peak_cases,fraction_peak_cases,span,Y_span,time_network,time_epidemic
R,188716,754864,8,0,22,7.9996,0,0.121022466,5.807572223,0,0.001,5,3,52,0.1425,77998,0.4133,196,0.537,7.7979,275.0484
R,188716,1037938,11,0,28,10.947,0.0001,0.14882324,5.065988627,0.0001,-0.0009,7,3,42,0.1151,90068,0.4773,192,0.526,11.6484,316.8649
R,188716,566148,6,0,19,6.0406,0,0.095908035,6.712565286,0,0.0019,4,3,66,0.1808,66970,0.3549,210,0.5753,6.0834,250.247
R,188716,3302530,35,10,64,35.0845,0.0002,0.249868008,3.544460235,0.0002,-0.0002,25,3,23,0.063,102988,0.5457,165,0.4521,44.8412,623.5202
R,188716,2547666,27,7,51,27.1121,0.0001,0.227212873,3.785128873,0.0002,0.0015,19,3,25,0.0685,101616,0.5385,173,0.474,32.3414,525.8952
R,188716,2642024,28,9,54,27.8674,0.0001,0.230387742,3.748911862,0.0001,0.0003,20,3,25,0.0685,101881,0.5399,175,0.4795,32.8658,529.434
R,188716,1132296,12,1,31,11.9849,0.0001,0.156419269,4.898046347,0.0001,0.0009,8,3,39,0.1068,91202,0.4833,187,0.5123,12.0311,331.3834
R,188716,1604086,17,1,43,16.9958,0.0001,0.186826184,4.33549137,0.0001,-0.0005,12,3,32,0.0877,97872,0.5186,177,0.4849,17.8341,390.7491
R,188716,2830740,30,8,57,30.0951,0.0002,0.236410768,3.682540557,0.0002,0.0001,21,3,25,0.0685,101866,0.5398,172,0.4712,36.6567,556.6148
R,188716,2453308,26,6,51,25.9555,0.0001,0.223918171,3.823652712,0.0001,0.0001,18,3,26,0.0712,101523,0.538,167,0.4575,30.3679,501.6866
R,188716,3679962,39,14,71,39.1183,0.0002,0.259314973,3.45516167,0.0002,0.0004,29,3,22,0.0603,103510,0.5485,171,0.4685,49.118,670.8044
R,188716,2264592,24,6,49,24.0613,0.0001,0.216930502,3.908684889,0.0001,0.0006,17,3,27,0.074,100699,0.5336,173,0.474,27.3498,485.0023
R,188716,1226654,13,1,33,12.9607,0.0001,0.163406938,4.754243154,0.0001,-0.0002,9,3,38,0.1041,93538,0.4957,175,0.4795,13.376,342.008
R,188716,943580,10,0,32,10.0122,0.0001,0.140502732,5.265407447,0.0001,0.0003,7,3,44,0.1205,88422,0.4685,181,0.4959,10.0344,306.4593
R,188716,3396888,36,13,65,35.8874,0.0002,0.252327304,3.520639495,0.0002,-0.0005,26,3,23,0.063,103129,0.5465,169,0.463,44.3885,620.523
R,183981,3403648,37,14,68,37.0391,0.0002,0.255285511,3.492528729,0.0002,0.0002,27,3,22,0.0603,100657,0.5471,166,0.4548,45.4362,609.3798
R,183981,827914,9,0,24,9.0016,0,0.131596711,5.499041682,0,0.0001,6,3,48,0.1315,76684,0.4168,189,0.5178,8.9133,279.3733
R,183981,1931800,21,4,46,20.9403,0.0001,0.205729666,4.055212055,0.0001,-0.0005,15,3,29,0.0795,97258,0.5286,183,0.5014,22.5418,424.3985
R,183981,735924,8,0,24,7.9743,0,0.121291532,5.799259706,0.0001,-0.0019,5,3,52,0.1425,78592,0.4272,194,0.5315,7.9542,268.942
R,183981,1011895,11,0,30,10.9884,0.0001,0.149154071,5.058405081,0.0001,0.0001,7,3,42,0.1151,86730,0.4714,182,0.4986,11.5511,312.2465
R,183981,551943,6,0,21,5.9907,0,0.096121265,6.703644536,0,0.002,4,3,67,0.1836,64755,0.352,213,0.5836,7.6608,248.3769
R,183981,3219667,35,10,63,34.9202,0.0002,0.250423518,3.539043176,0.0002,0.0003,25,3,23,0.063,100405,0.5457,170,0.4658,39.8641,583.9645
R,183981,2483743,27,8,53,27.0049,0.0001,0.227718012,3.779307909,0.0001,-0.0002,19,3,25,0.0685,98905,0.5376,169,0.463,31.5915,499.8889
R,183981,2575734,28,8,54,28.1178,0.0002,0.230899956,3.743150021,0.0002,-0.0001,20,3,25,0.0685,99518,0.5409,169,0.463,32.6827,509.6084
R,183981,1103886,12,1,32,12.0544,0.0001,0.156767031,4.890656159,0.0001,-0.0015,8,3,39,0.1068,89537,0.4867,181,0.4959,12.1537,314.1858
